player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League,role,prog_carries_90_any,prog_passes_rec_90_any,prog_passes_90_any,yc_90,rc_90,fwd_score,mf_score,df_score,gk_score,fwd_rank,mf_rank,df_rank,gk_rank,_market_value_eur,fwd_underrated,mf_underrated,df_underrated,gk_underrated,fwd_underrated_rank,mf_underrated_rank,df_underrated_rank,gk_underrated_rank
Jack Porter,England,16,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,15.07.2008 (16),"1,87m",right,€400k,Arsenal,Premier League,GK,,,,0.0,0.0,,,,0.0,,,,,400000.0,,,,0.0,,,,
Tommy Setford,England,18,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,13.03.2006 (19),"1,85m",right,-,Arsenal,Premier League,GK,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,
Josh Nichols,England,18,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,26.07.2006 (18),-,,-,Arsenal,Premier League,DF,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
Neto,Brazil,35,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17 Serie A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,19.07.1989 (35),"1,90m",right,€1.50m,Arsenal,Premier League,GK,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,1500000.0,,,,0.0,,,,
Maldini Kacurri,Albania,18,1,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,04.10.2005 (19),"1,89m",,€300k,Arsenal,Premier League,DF,,,,0.0,0.0,,,0.0,,,,,,300000.0,,,0.0,,,,,
Ayden Heaven,England,17,1,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,22.09.2006 (18),"1,89m",left,€5.00m,Arsenal,Premier League,DF,,,,0.0,0.0,,,0.0,,,,,,5000000.0,,,0.0,,,,,
Ismeal Kabia,England,18,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,10.12.2005 (19),-,right,-,Arsenal,Premier League,FWD,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Nathan Butler-Oyedeji,England,21,2,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,04.01.2003 (22),"1,77m",right,€1.00m,Arsenal,Premier League,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1000000.0,0.0,,,,,,,
Takehiro Tomiyasu,Japan,25,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,05.11.1998 (26),"1,88m",right,€18.00m,Arsenal,Premier League,DF,0.0,0.0,10.0,0.0,0.0,,,0.0,,,,,,18000000.0,,,0.0,,,,,
Reiss Nelson,England,24,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18 Premier League 2 — Division 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,10.12.1999 (25),"1,75m",right,€16.00m,Arsenal,Premier League,FWD,,,,,,0.0,,,,,,,,16000000.0,0.0,,,,,,,
Alexei Rojas,Colombia,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,28.09.2005 (19),"1,87m",right,€250k,Arsenal,Premier League,GK,,,,,,,,,0.0,,,,,250000.0,,,,0.0,,,,
Brayden Clarke,Wales,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,03.07.2007 (17),-,right,-,Arsenal,Premier League,DF,,,,,,,,0.0,,,,,,,,,,,,,,
Aaron Ramsdale,England,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,0.32,28.6,10.0,5.5,0.67,11.7,Goalkeeper,14.05.1998 (27),"1,90m",right,€16.00m,Arsenal,Premier League,GK,,,,,,,,,0.0,,,,,16000000.0,,,,0.0,,,,
Eddie Nketiah,England,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-18 Premier League 2 — Division 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,30.05.1999 (26),"1,75m",right,€18.00m,Arsenal,Premier League,FWD,,,,,,0.0,,,,,,,,18000000.0,0.0,,,,,,,
Zane Monlouis,England,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,1.05,1.23,6.13,2.45,,,,,,,,,,,,,,,,,,,Centre-Back,16.10.2003 (21),"1,86m",right,€400k,Arsenal,Premier League,DF,,0.35,,,,,,0.0,,,,,,400000.0,,,0.0,,,,,
Jack Henry-Francis,Ireland,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,23.09.2003 (21),"1,81m",,€200k,Arsenal,Premier League,MF,,,,,,,0.0,,,,,,,200000.0,,0.0,,,,,,
Josh Robinson,England,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,20.12.2004 (20),-,right,-,Arsenal,Premier League,DF,,,,,,,,0.0,,,,,,,,,,,,,,
Michal Rosiak,Poland,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,12.10.2005 (19),"1,80m",right,-,Arsenal,Premier League,MF,,,,,,,0.0,,,,,,,,,,,,,,,
Jimi Gower,England,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Midfield,01.10.2004 (20),"1,81m",right,-,Arsenal,Premier League,MF,,,,,,,0.0,,,,,,,,,,,,,,,
Mohamed Salah,Egypt,32,52,4490.0,49.9,34.0,23.0,57.0,23.0,11.0,12.0,1.0,0.0,30.2,21.6,17.7,39.3,191.0,184.0,602.0,0.68,0.46,1.14,0.46,0.92,0.66,0.38,1.04,0.47,0.85,"2x African Footballer of the Year, 2x Premier League Player of the Season, 4x Domestic League Champion, 2018-19 Champions League Champion, 3x FWA Footballer of the Year, 2x PFA Players' Player of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,15.06.1992 (33),"1,75m",left,€50.00m,Liverpool,Premier League,FWD,3.8276553106212425,12.064128256513026,3.687374749498998,0.02004008016032064,0.0,0.8520372962924688,,,,3.0,,,,50000000.0,1.7040745925849378e-08,,,,,,,
Virgil van Dijk,Netherlands,33,49,4436.0,49.3,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,2.9,2.9,0.8,3.7,23.0,234.0,6.0,0.1,0.02,0.12,0.1,0.12,0.06,0.02,0.08,0.06,0.08,"2018-19 Premier League Player of the Season, 2018-19 UEFA Men's Player of the Year, 5x Domestic League Champion, 2018-19 Champions League Champion, 2018-19 PFA Players' Player of the Year",0.15,0.97,1.38,0.84,4.88,3.04,,,,,,,,,,,,,,,,,,,Centre-Back,08.07.1991 (33),"1,95m",right,€23.00m,Liverpool,Premier League,DF,0.4665314401622718,0.15,4.7464503042596355,0.14198782961460446,0.0,,,0.5690115840114662,,,,4.0,,23000000.0,,,2.4739634087455054e-08,,,,,
Ryan Gravenberch,Netherlands,22,49,4196.0,46.6,0.0,4.0,4.0,0.0,0.0,0.0,7.0,1.0,1.1,1.1,3.8,4.9,87.0,232.0,72.0,0.0,0.09,0.09,0.0,0.09,0.03,0.09,0.11,0.03,0.11,4x Domestic League Champion,,,,,,,1.87,53.28,89.5,5.3,1.99,1.68,2.06,1.87,1.05,1.49,0.68,,,,,,,,Defensive Midfield,16.05.2002 (23),"1,90m",right,€75.00m,Liverpool,Premier League,MF,1.99,1.68,5.3,0.1502145922746781,0.02145922746781116,,-0.5683271038527296,,,,21.0,,,75000000.0,,-7.577694718036394e-09,,,,19.0,,
Alexis Mac Allister,Argentina,25,49,3558.0,39.5,7.0,6.0,13.0,7.0,0.0,0.0,11.0,0.0,4.3,4.3,7.0,11.3,44.0,221.0,92.0,0.18,0.15,0.33,0.18,0.33,0.12,0.19,0.31,0.12,0.31,"2x Domestic League Champion, 2022 World Cup Champion",,,,,,,4.12,52.03,83.8,6.03,1.24,2.57,3.24,0.86,2.21,1.0,0.53,,,,,,,,Central Midfield,24.12.1998 (26),"1,76m",right,€100.00m,Liverpool,Premier League,MF,1.24,2.57,6.03,0.27848101265822783,0.0,,-0.18661022260664484,,,,15.0,,,100000000.0,,-1.8661022260664483e-09,,,,14.0,,
Dominik Szoboszlai,Hungary,23,49,3421.0,38.0,8.0,8.0,16.0,8.0,0.0,0.0,6.0,0.0,8.4,8.4,8.1,16.5,84.0,169.0,158.0,0.21,0.21,0.42,0.21,0.42,0.24,0.23,0.47,0.24,0.47,4x Domestic League Champion,,,,,,,4.0,47.74,83.7,4.78,2.39,4.52,1.44,0.35,1.44,0.72,0.6,,,,,,,,Attacking Midfield,25.10.2000 (24),"1,87m",right,€80.00m,Liverpool,Premier League,MF,2.39,4.52,4.78,0.15789473684210525,0.0,,-0.19689859813066019,,,,16.0,,,80000000.0,,-2.461232476633252e-09,,,,15.0,,
Ibrahima Konaté,France,25,42,3365.0,37.4,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,1.0,3.2,27.0,134.0,3.0,0.05,0.05,0.11,0.05,0.11,0.06,0.03,0.09,0.06,0.09,2024-25 Premier League Champion,0.08,1.22,0.69,1.05,4.7,2.32,,,,,,,,,,,,,,,,,,,Centre-Back,25.05.1999 (26),"1,94m",right,€60.00m,Liverpool,Premier League,DF,0.7219251336898396,0.08,3.5828877005347595,0.21390374331550802,0.0,,,0.14969926171664638,,,,11.0,,60000000.0,,,2.4949876952774397e-09,,,,11.0,
Luis Díaz,Colombia,27,50,3323.0,36.9,17.0,5.0,22.0,17.0,0.0,0.0,3.0,0.0,14.5,14.5,6.2,20.7,134.0,133.0,371.0,0.46,0.14,0.6,0.46,0.6,0.43,0.18,0.61,0.43,0.61,4x Domestic League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,13.01.1997 (28),"1,80m",right,€70.00m,Liverpool,Premier League,FWD,3.631436314363144,10.05420054200542,3.604336043360434,0.08130081300813008,0.0,-0.25849083185028227,,,,14.0,,,,70000000.0,-3.6927261692897468e-09,,,,14.0,,,
Andrew Robertson,Scotland,30,45,3311.0,36.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.6,1.6,5.3,6.9,76.0,214.0,127.0,0.0,0.05,0.05,0.0,0.05,0.05,0.16,0.21,0.05,0.21,"2x Premier League Champion, 2018-19 Champions League Champion",3.8,1.33,0.75,0.48,2.23,0.27,,,,,,,,,,,,,,,,,,,Left-Back,11.03.1994 (31),"1,78m",left,€18.00m,Liverpool,Premier League,DF,2.065217391304348,3.8,5.815217391304349,0.13586956521739132,0.027173913043478264,,,-0.6535106771129382,,,,23.0,,18000000.0,,,-3.6306148728496564e-08,,,,,
Alisson,Brazil,31,35,3168.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,"2019 The Best FIFA Men's Goalkeeper, 2x Premier League Champion, 2018-19 Champions League Champion",,,,,,,,,,,,,,,,,,73.4,0.29,0.0,33.3,4.8,1.62,15.4,Goalkeeper,02.10.1992 (32),"1,93m",right,€20.00m,Liverpool,Premier League,GK,0.0,0.0,0.028409090909090908,0.0,0.0,,,,-0.004035896205306123,,,,6.0,20000000.0,,,,-2.0179481026530617e-10,,,,
Trent Alexander-Arnold,England,25,44,3073.0,34.1,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,2.3,2.3,7.8,10.2,56.0,278.0,110.0,0.12,0.21,0.32,0.12,0.32,0.07,0.24,0.31,0.07,0.31,"2x Premier League Champion, 2018-19 Champions League Champion",3.46,2.7,1.23,0.88,1.89,0.13,,,,,,,,,,,,,,,,,,,Right-Back,07.10.1998 (26),"1,80m",right,€75.00m,Liverpool,Premier League,DF,1.6422287390029324,3.46,8.1524926686217,0.14662756598240467,0.0,,,0.28171328230905546,,,,9.0,,75000000.0,,,3.756177097454073e-09,,,,10.0,
Cody Gakpo,Netherlands,25,49,2690.0,29.9,18.0,6.0,24.0,17.0,1.0,1.0,5.0,0.0,9.7,8.9,5.8,14.7,80.0,68.0,327.0,0.6,0.2,0.8,0.57,0.77,0.38,0.23,0.61,0.35,0.58,"2024-25 Premier League Champion, 2021-22 Netherlands Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,07.05.1999 (26),"1,93m",right,€70.00m,Liverpool,Premier League,FWD,2.6755852842809364,10.936454849498329,2.2742474916387962,0.16722408026755853,0.0,-0.050695557336700094,,,,10.0,,,,70000000.0,-7.242222476671442e-10,,,,11.0,,,
Curtis Jones,England,23,46,2438.0,27.1,3.0,6.0,9.0,3.0,0.0,0.0,3.0,1.0,4.7,4.7,3.0,7.7,44.0,135.0,103.0,0.11,0.22,0.33,0.11,0.33,0.21,0.14,0.34,0.21,0.34,2x Premier League Champion,,,,,,,2.9,57.15,92.7,5.97,1.9,4.45,1.95,0.39,1.21,0.48,0.73,,,,,,,,Central Midfield,30.01.2001 (24),"1,85m",right,€45.00m,Liverpool,Premier League,MF,1.9,4.45,5.97,0.11070110701107011,0.03690036900369004,,-0.1556679133300909,,,,13.0,,,45000000.0,,-3.4592869628909086e-09,,,,17.0,,
Darwin Núñez,Uruguay,25,47,2058.0,22.9,7.0,5.0,12.0,7.0,0.0,0.0,9.0,0.0,8.6,8.6,1.8,10.5,35.0,39.0,114.0,0.31,0.22,0.52,0.31,0.52,0.5,0.1,0.6,0.5,0.6,"2x Domestic League Champion, 2021-22 Portuguese Best Player",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,24.06.1999 (26),"1,87m",right,€45.00m,Liverpool,Premier League,FWD,1.5283842794759825,4.978165938864629,1.7030567685589522,0.39301310043668125,0.0,-0.8575964566390131,,,,21.0,,,,45000000.0,-1.9057699036422514e-08,,,,20.0,,,
Diogo Jota,Portugal,27,37,1831.0,20.3,9.0,3.0,12.0,9.0,0.0,0.0,2.0,0.0,8.9,8.9,2.0,10.8,39.0,45.0,99.0,0.44,0.15,0.59,0.44,0.59,0.56,0.12,0.68,0.56,0.68,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,04.12.1996 (28),"1,78m",right,€40.00m,Liverpool,Premier League,FWD,1.921182266009852,4.876847290640394,2.216748768472906,0.09852216748768472,0.0,-0.4119380227711244,,,,16.0,,,,40000000.0,-1.029845056927811e-08,,,,18.0,,,
Caoimhín Kelleher,Ireland,25,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,69.5,0.32,100.0,46.7,4.6,1.27,15.2,Goalkeeper,23.11.1998 (26),"1,88m",right,€20.00m,Liverpool,Premier League,GK,0.0,0.0,0.0,0.0,0.0,,,,0.2913563873661037,,,,2.0,20000000.0,,,,1.4567819368305186e-08,,,,2.0
Conor Bradley,Northern Ireland,21,29,1391.0,15.5,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.7,2.7,44.0,44.0,54.0,0.0,0.26,0.26,0.0,0.26,0.09,0.15,0.24,0.09,0.24,2024-25 Premier League Champion,4.78,2.12,0.44,1.06,3.19,1.24,,,,,,,,,,,,,,,,,,,Right-Back,09.07.2003 (21),"1,81m",right,€30.00m,Liverpool,Premier League,DF,2.838709677419355,4.78,2.838709677419355,0.25806451612903225,0.0,,,0.0,,,,,,30000000.0,,,0.0,,,,,
Jarell Quansah,England,21,25,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,2024-25 Premier League Champion,0.66,1.45,1.32,1.59,4.76,1.06,,,,,,,,,,,,,,,,,,,Centre-Back,29.01.2003 (22),"1,90m",right,€20.00m,Liverpool,Premier League,DF,0.3472222222222222,0.66,1.6666666666666665,0.20833333333333331,0.0,,,0.0,,,,,,20000000.0,,,0.0,,,,,
Wataru Endo,Japan,31,32,879.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,09.02.1993 (32),"1,78m",right,€8.00m,Liverpool,Premier League,MF,0.2040816326530612,1.0204081632653061,2.346938775510204,0.1020408163265306,0.0,,0.0,,,,,,,8000000.0,,0.0,,,,,,
Joe Gomez,England,27,17,876.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,7.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,"2x Premier League Champion, 2018-19 Champions League Champion",0.68,2.05,1.23,1.77,4.09,1.5,,,,,,,,,,,,,,,,,,,Centre-Back,23.05.1997 (28),"1,88m",right,€20.00m,Liverpool,Premier League,DF,0.7216494845360826,0.68,4.639175257731959,0.2061855670103093,0.0,,,0.0,,,,,,20000000.0,,,0.0,,,,,
Harvey Elliott,England,21,28,838.0,9.3,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,2.4,2.4,1.1,3.6,13.0,53.0,40.0,0.54,0.32,0.86,0.54,0.86,0.42,0.19,0.61,0.42,0.61,2024-25 Premier League Champion,,,,,,,4.48,64.76,81.5,8.8,2.16,6.64,0.83,0.66,1.33,0.83,0.17,,,,,,,,Attacking Midfield,04.04.2003 (22),"1,70m",left,€30.00m,Liverpool,Premier League,MF,2.16,6.64,8.8,0.4301075268817204,0.0,,0.0,,,,,,,30000000.0,,0.0,,,,,,
Federico Chiesa,Italy,26,14,470.0,5.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,7.0,7.0,20.0,0.38,0.19,0.57,0.38,0.57,0.21,0.07,0.28,0.21,0.28,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,25.10.1997 (27),"1,75m",right,€14.00m,Liverpool,Premier League,FWD,1.346153846153846,3.846153846153846,1.346153846153846,0.1923076923076923,0.0,0.0,,,,,,,,14000000.0,0.0,,,,,,,
Tyler Morton,England,21,5,260.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,31.10.2002 (22),"1,85m",right,€7.00m,Liverpool,Premier League,MF,0.3448275862068966,0.0,0.6896551724137931,0.3448275862068966,0.0,,0.0,,,,,,,7000000.0,,0.0,,,,,,
James McConnell,England,19,4,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Central Midfield,13.09.2004 (20),-,,€2.00m,Liverpool,Premier League,MF,1.111111111111111,0.37037037037037035,1.8518518518518516,0.37037037037037035,0.0,,0.0,,,,,,,2000000.0,,0.0,,,,,,
Trey Nyoni,England,17,5,226.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Central Midfield,30.06.2007 (18),"1,80m",right,€4.50m,Liverpool,Premier League,MF,0.0,0.4,0.4,0.4,0.0,,0.0,,,,,,,4500000.0,,0.0,,,,,,
Jayden Danns,England,18,4,117.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,0.0,0.77,0.0,0.77,0.77,0.77,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,16.01.2006 (19),"1,83m",right,€800k,Liverpool,Premier League,FWD,0.7692307692307692,0.0,2.3076923076923075,0.0,0.0,0.0,,,,,,,,800000.0,0.0,,,,,,,
Vitezslav Jaros,Czech Republic,23,2,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-24 Austrian Bundesliga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,23.07.2001 (23),"1,90m",right,€4.00m,Liverpool,Premier League,GK,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,4000000.0,,,,0.0,,,,
Rio Ngumoha,England,15,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,29.08.2008 (16),"1,70m",right,-,Liverpool,Premier League,FWD,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Isaac Mabaya,England,19,1,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,22.09.2004 (20),-,right,-,Liverpool,Premier League,DF,,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,
Amara Nallo,England,17,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,18.11.2006 (18),"1,86m",both,€1.00m,Liverpool,Premier League,DF,,,,,,,,0.0,,,,,,1000000.0,,,0.0,,,,,
Kieran Morrison,Northern Ireland,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,09.11.2006 (18),"1,80m",left,-,Liverpool,Premier League,MF,,,,,,,0.0,,,,,,,,,,,,,,,
Harvey Davies,England,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,03.09.2003 (21),"1,90m",left,€500k,Liverpool,Premier League,GK,,,,,,,,,0.0,,,,,500000.0,,,,0.0,,,,
James Norris,England,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left-Back,04.04.2003 (22),"1,72m",left,€150k,Liverpool,Premier League,DF,,,,,,,,0.0,,,,,,150000.0,,,0.0,,,,,
Ranel Young,England,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,26.12.2005 (19),-,,-,Liverpool,Premier League,FWD,,,,,,0.0,,,,,,,,,,,,,,,,
Willian Pacho,Ecuador,22,52,4133.0,45.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,6.0,89.0,3.0,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,"3x Domestic League Champion, 2024-25 Champions League Champion",0.08,2.03,1.48,1.28,4.07,1.53,,,,,,,,,,,,,,,,,,,Centre-Back,16.10.2001 (23),"1,87m",left,€65.00m,PSG,Ligue 1,DF,0.13071895424836602,0.08,1.9389978213507626,0.04357298474945534,0.0,,,0.9087037193867246,,,,1.0,,65000000.0,,,1.3980057221334224e-08,,,,5.0,
Achraf Hakimi,Morocco,25,48,4102.0,45.6,9.0,12.0,21.0,9.0,0.0,0.0,7.0,0.0,6.1,6.1,10.8,16.9,168.0,293.0,434.0,0.2,0.26,0.46,0.2,0.46,0.15,0.27,0.43,0.15,0.43,"5x Domestic League Champion, 2024-25 Champions League Champion",10.79,2.08,1.12,1.24,1.09,0.38,,,,,,,,,,,,,,,,,,,Right-Back,04.11.1998 (26),"1,81m",right,€80.00m,PSG,Ligue 1,DF,3.6842105263157894,10.79,6.425438596491228,0.15350877192982457,0.0,,,0.3310238143373216,,,,7.0,,80000000.0,,,4.13779767921652e-09,,,,8.0,
